Aircraft,Photo,Origin,Type,Versions,In Service,BVR kill chain,Associated products
Chengdu J-20,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/J-20_at_Airshow_China_2016.jpg/1280px-J-20_at_Airshow_China_2016.jpg,China,Stealth Air Superiority Fighter,J-20A/S,320,"Twin-engine 5th-gen with Type 1475 KLJ-5 AESA radar (400 km detection vs. 3m²), internal bays for 6 PL-15/PL-21 BVR missiles, and low RCS for first-look/kill; two-seat S variant enhances networked ops with KJ-500 cueing to 280 km envelope; fleet hit 300+ with 200 produced in 2025 across 13+ brigades. F2T2EA: KLJ-5 AESA Find/Fix; Tracks secure link; Targets PL-15/21; Engage internal; Assess stealth penetration.","PL-15 long-range BVR missile, KLJ-5 AESA, Cloud-Sword CCA"
Shenyang J-35,https://raw.githubusercontent.com/ayeeff/aircombat/main/data/TSX6WHET5NE7XCLZCFRKIAOCQI.jpg,China,Stealth Multirole Fighter,J-35A,60,"Carrier-capable 5th-gen (PLANAF focus) with WS-13/WS-19 engines, AESA radar, and 4-6 internal PL-15s for stealthy BVR; initial operational capability achieved mid-2025 on Fujian carrier; supports datalink fusion for 250+ km engagements, bridging J-20 and carrier strike groups. F2T2EA: KLJ-7A Find/Fix stealthy; Tracks datalink; Targets PL-15; Engage carrier ops; Assess naval BVR.","PL-15 long-range BVR missile, KLJ-7A AESA, J-20 Mighty Dragon stealth fighter"
Shenyang J-16,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/J-16_at_CCAS2023_(20230724102737).jpg/1280px-J-16_at_CCAS2023_(20230724102737).jpg,China,Multirole Strike Fighter,J-16/D,450,"4.5-gen heavy fighter with JL-17 AESA radar (300 km range), 12 external PL-15/PL-21 pylons, and Khibiny-style EW; D variant (12 units) for jamming enemy radars to enable BVR salvos; core of PLAAF strike force, with 50+ added in 2025 for hybrid ops with drones. F2T2EA: JL-17 AESA Find/Fix; Tracks multiple; Targets via EW; Engage PL-15/21 external; Assess strike effectiveness.","PL-15 long-range BVR missile, JL-17 AESA radar, Khibiny-style EW"
Chengdu J-10C,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/J-10CE_for_Pakistan_air_force_in_Zhuhai_airshow_2024.jpg/1280px-J-10CE_for_Pakistan_air_force_in_Zhuhai_airshow_2024.jpg,China,Multirole Fighter,J-10C,240,"Single-engine 4.5-gen with KLJ-7A AESA (170 km), fly-by-wire, and 6-8 PL-15 missiles; excels in agile BVR with HOJ (high-off-boresight) capability and indigenous datalinks; 30+ delivered in 2025, forming 10+ squadrons for forward defense. F2T2EA: KLJ-7A AESA Find/Fix; Tracks HOJ; Targets PL-15; Engage agile; Assess datalinks.","KLJ-7A AESA, PL-15 long-range BVR missile, fly-by-wire system"
Shenyang J-11B,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Chinese_Su-27.JPG/1280px-Chinese_Su-27.JPG,China,Air Superiority Fighter,J-11B/BS,495,"Upgraded Flanker with indigenous WS-10 engines, N001VE radar (150 km), and 8 PL-12/PL-15 loads; BS variant adds conformal tanks for extended loiter; reliable BVR backbone (445 PLAAF + 50 PLANAF), integrated with ground radars for cueing. F2T2EA: N001VE Find/Fix; Tracks WS-10 powered; Targets PL-12/15; Engage backbone; Assess cueing.","WS-10 engines, N001VE radar, PL-15 long-range BVR missile"
Sukhoi Su-30MKK,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Sukhoi_Su-30MKK_inflight.jpg/1280px-Sukhoi_Su-30MKK_inflight.jpg,Russia (China),Multirole Fighter,Su-30MKK/MK2,100,"Twin-seat long-range platform with N001VEP radar (200 km), thrust-vectoring, and 12 R-77/PL-12 missiles; MK2 naval variant (24 PLANAF) for carrier ops; sustains BVR via AEW links, with upgrades focusing on Chinese avionics compatibility. F2T2EA: N001VEP Find/Fix; Tracks thrust-vector; Targets R-77/PL-12; Engage AEW links; Assess upgrades.","N001VEP radar, PL-12 missile, KJ-500"
Shenyang J-15,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/The_2nd_China_(Mianyang)_Science_%26_Technology_City_International_Hi-Tech_Expo_37.jpg/1280px-The_2nd_China_(Mianyang)_Science_%26_Technology_City_International_Hi-Tech_Expo_37.jpg,China,Carrier-Based Multirole Fighter,J-15/T/D,76,"Flanker-derived carrier jet with improved WS-10 engines, KLJ-5A radar, and 6-8 PL-12/PL-15 pylons; T variant (10) with catapult compatibility, D (6) for EW; 59 base + variants operational on Liaoning/Shandong, extending naval BVR to 200 km. F2T2EA: KLJ-5A Find/Fix; Tracks WS-10; Targets PL-12/15; Engage naval; Assess catapult.","KLJ-5A radar, WS-10 engines, PL-15 long-range BVR missile"
Shaanxi KJ-500,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/%E7%A9%BA%E8%AD%A6500%E6%A9%9F.jpg/1280px-%E7%A9%BA%E8%AD%A6500%E6%A9%9F.jpg,China,Airborne Early Warning & Control,KJ-500,70,"Y-9-based AEW with AESA radar (450 km horizon) for off-board targeting and mid-course PL-15 updates; 40 PLAAF + 20+ PLANAF; critical for networked BVR, with refueling probes added in 2025 for persistent coverage. F2T2EA: AESA Find/Fix horizon; Tracks off-board; Targets PL-15 updates; Engage directed; Assess networked.","AESA radar, Y-9 platform, refueling probes"
Wing Loong-10 HALE UCAV,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Wing_Loong_II_(CH-4B)_UAV.jpg/1280px-Wing_Loong_II_(CH-4B)_UAV.jpg,China,High-Altitude Long-Endurance UCAV,Wing Loong-10,5,HALE for persistent Find; Tracks PL-15E external; Targets via KJ-3000; Engage BVR; Assess UCAV endurance; in PLA service as WZ-10. F2T2EA: HALE persistent Find; Tracks PL-15E external; Targets KJ-3000; Engage BVR; Assess endurance.,"PL-15 long-range BVR missile, KJ-3000 AEW, KLJ-5 AESA"
CH-7 stealth UCAV,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/CH-7_UCAV_mockup_at_Airshow_China_2018.jpg/1280px-CH-7_UCAV_mockup_at_Airshow_China_2018.jpg,China,Stealth Unmanned Combat Aerial Vehicle,CH-7,0,"Stealth Find internal bay; Tracks to KJ-3000; Targets PL-15/21; Engage autonomous; Assess datalink; development complete, initial service entry 2025. F2T2EA: Stealth Find internal; Tracks KJ-3000; Targets PL-15/21; Engage autonomous; Assess datalink.","PL-15 long-range BVR missile, PL-21 long-range BVR missile, Cloud-Sword CCA"
Cloud-Sword CCA,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/1280px-No_image_available.svg.png,China,Collaborative Combat Aircraft,Cloud-Sword,0,CCA Find for J-20; Tracks internal; Targets PL-15E; Engage wing-man; Assess swarm; under development for J-20 integration. F2T2EA: CCA Find J-20; Tracks internal; Targets PL-15E; Engage wing-man; Assess swarm.,"J-20 Mighty Dragon stealth fighter, PL-15 long-range BVR missile, KLJ-5 AESA"
