Company,Country,Flag,Main BVR Role (precise product),Arms,Total
Anduril Industries,United States,🇺🇸,"""Fury"" CCA / ""Altius-600M"" loyal-wingman; BVR datalink relay, AI-piloted missile-truck with AIM-120D-3 / AIM-260 internally; ""Roadrunner-M"" supersonic CCA; AIM-120D-3 / AIM-260 internal rotary bay; BVR launch & return",USD 1.0bn (2024),USD 1.0bn (2024)
General Atomics Aeronautical,United States,🇺🇸,"MQ-20 Avenger CCA; AESA nose for AIM-120D-3 carriage; ""Gambit"" loyal-wingman series (CCA-A, -B, -C, -D)",USD 1.7bn (2024),USD 1.7bn (2024)
Kratos Defense & Security,United States,🇺🇸,XQ-58A Valkyrie CCA; XQ-58B maritime strike variant; internal bay for AIM-120D-3 / small-diameter BVR weapons,USD 1.1bn (2024),USD 1.1bn (2024)
Boeing Defense,United States,🇺🇸,"F-15EX Eagle II (BVR platform); AN/APG-82(V)1 AESA radar; EPAWSS EW system; AIM-120D-3 integration; MQ-28A Ghost Bat loyal-wingman; BVR datalink relay, future internal AIM-120D-3 / Meteor pallet",USD 31.1bn (2023),USD 77.8bn (2023)
Boeing Australia,Australia,🇦🇺,"MQ-28A Ghost Bat loyal-wingman; BVR datalink relay, future internal AIM-120D-3 / Meteor pallet",USD 31.1bn (2023),USD 77.8bn (2023)
Lockheed Martin Israel,Israel,🇮🇱,"F-35I Adir stealth fighter (BVR platform); local final assembly & modifications; integration of EL/M-2052 AESA radar, Derby-ER / Spice-250 BVR weapons; conformal EW pods & helmet-cued BVR targeting",USD 60.8bn (2023),USD 67.6bn (2023)
Boeing Israel,Israel,🇮🇱,F-15I Ra'am BVR platform upgrades; conformal fuel tanks for extended range; integration of AIM-120D AMRAAM / Derby-ER; local R&D for EW & sensor fusion enhancing BVR envelopes,USD 31.1bn (2023),USD 77.8bn (2023)
Gulfstream Israel,Israel,🇮🇱,G550 Nachshon CAEW; EL/W-2085 Phalcon AESA radar for AEW&C; networked BVR targeting relay for F-35I / F-15I fleets; extended sensor fusion for IAF beyond-visual-range operations,N/A,N/A
Airbus France,France,🇫🇷,A330 MRTT Phénix upgrades (BVR enabler); automated in-flight refueling boom for Rafale F4; extended endurance for Meteor / MICA-NG BVR launches; FCAS remote carrier R&D integration,USD 12.9bn (2023),USD 70.7bn (2023)
Airbus Germany,Germany,🇩🇪,Eurofighter Typhoon Tranche 4 assembly (BVR platform); Captor-E AESA radar production in Manching; Meteor BVR missile integration; A330 MRTT refueling for Eurofighter / F-35 extended BVR missions,USD 12.9bn (2023),USD 70.7bn (2023)
Airbus Spain,Spain,🇪🇸,A330 MRTT deployment (BVR enabler); probe-and-drogue refueling for Eurofighter & F/A-18; C-295 MPA sensor fusion for networked BVR targeting; FCAS next-gen fighter contributions,USD 12.9bn (2023),USD 70.7bn (2023)
BAE Systems,United Kingdom,🇬🇧,"""LANCA"" loyal-wingman demonstrator; BVR weapons bay for Meteor / SPEAR-3; integrated EW payload; Eurofighter Typhoon Captor-E AESA radar; EW suite for F-35; Meteor missile guidance & warhead",USD 29.8bn (2023),USD 30.4bn (2023)
Dassault Aviation,France,🇫🇷,"""Remote Carrier"" CCA family; BVR Meteor / FC/ASW internal bay; networked to Rafale F5 & New-Gen Fighter; Rafale F4 (BVR platform); RBE2-AA AESA radar; integration of Meteor & MICA-NG",USD 4.3bn (2023),USD 6.7bn (2023)
Airbus,France,🇫🇷,"Tanker / Multi-role Transport enabling extended BVR engagement legs (e.g., boom/probe refueling for stealth jets and BVR platforms)",USD 12.9bn (2023),USD 70.7bn (2023)
Rafael Advanced Defense Systems,Israel,🇮🇱,"""Neon"" loyal-wingman; AESA nose; Derby-ER external / future internal bay; BVR relay for F-35I; ELM-2052 AESA radar (Gripen E, Tejas Mk1A); Barak-8 LR-SAM seeker tech transferred to air-launched BVR",USD 4.8bn (2024),USD 4.8bn (2024)
Saab AB,Sweden,🇸🇪,"""FSAS"" loyal-wingman concept; AESA nose; Meteor / AIM-120D-3 carriage on Gripen–E wing-stations; JAS-39 E/F Gripen (BVR platform); PS-05/A Mk 4 AESA radar; integration of Meteor & AIM-120C-7",USD 6.1bn (2024),USD 6.1bn (2024)
Chengdu Aircraft Industry Group,China,🇨🇳,Wing Loong-10 (Cloud-Shadow) HALE UCAV; PL-15E external carry; future internal bay variant; PL-15 / PL-21 long-range BVR missiles; integrated fire-control bus for J-20/J-35,USD 0.3bn (2024),USD 0.3bn (2024)
China Aerospace Science and Technology Corporation,China,🇨🇳,CH-7 stealth UCAV; internal bay for PL-15E / PL-21; BVR datalink to KJ-3000 AEW,USD 9.6bn (2023),USD 9.6bn (2023)
