Aircraft,Company,Photo,Origin,Type,Versions,In Service,Airport,Manned,BVR kill chain,Associated products,country
Dassault Rafale,Dassault Aviation,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Rafale_-_RIAT_2009_%283751416421%29.jpg/960px-Rafale_-_RIAT_2009_%283751416421%29.jpg,France,Multirole Fighter,Rafale EH/DH,54,"Ambala AFS, Hasimara AFS",Yes,"RBE2-AA AESA Find/Fix (200+ km detection); Tracks via datalink; Targets high-value threats with SPECTRA EW; Engage 4-6 Meteor (150 km ramjet, Mach 4+ large NEZ); Assess post-strike with Netra cueing to 140 km envelope.","RBE2-AA AESA radar, Meteor missile, SPECTRA EW suite, Netra AEW&C",in
Sukhoi Su-30MKI,Sukhoi,https://upload.wikimedia.org/wikipedia/commons/8/85/Sukhoi_Su-30MKI%2C_Russia_-_Air_Force_AN1572877.jpg,Russia,Multirole Fighter,Su-30MKI Super-30,259,"Bareilly AFS, Lohegaon AFS, Tezpur AFS",Yes,"Bars-R AESA Find/Fix (200 km); Tracks multiple via datalink; Targets with thrust-vectoring; Engage 8-12 RVV-AE-PD/R-77M (120-200 km active, mid-course datalink); Assess via Falcon AWACS for 140 km envelopes.","Bars-R AESA radar, RVV-AE-PD missile, R-77M missile, Falcon AWACS",in
Dassault Mirage 2000,Dassault Aviation,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Dassault_Mirage_2000I_%E2%80%98KF112%E2%80%99.jpg/1280px-Dassault_Mirage_2000I_%E2%80%98KF112%E2%80%99.jpg,France,Multirole Fighter,Mirage 2000H/I,36,Gwalior AFS,Yes,RDY-2 radar Find/Fix (150 km); Tracks via mid-life datalink updates; Targets precision strikes; Engage 4-6 MICA-NG (100 km dual-mode AESA/IR); Assess integrated with Israeli Spice.,"RDY-2 radar, MICA-NG missile, datalink systems",in
Mikoyan MiG-29,Mikoyan,https://upload.wikimedia.org/wikipedia/commons/d/d9/Russian_Air_Force_Mikoyan-Gurevich_MiG-29S_Naumenko-1.jpg,Russia,Multirole Fighter,MiG-29UPG,52,Adampur AFS,Yes,Zhuk-ME radar Find/Fix (160 km); Tracks with conformal tanks for loiter; Targets via UPG ECCM/datalink; Engage 6 R-77 (110 km active); Assess QRA forward defense.,"Zhuk-ME radar, R-77 missile, ECCM systems",in
HAL Tejas,HAL,https://upload.wikimedia.org/wikipedia/commons/b/b4/Aero_India_logo_Inspiration_Tejas.jpg,India,Multirole Fighter,Tejas Mk1/Mk1A,43,"Sulur AFS, Nal AFS",Yes,"EL/M-2032 radar Find/Fix (150 km on Mk1A); Tracks integrated; Targets with Uttam AESA upgrades; Engage 4-6 Astra Mk1 (110 km active, HOBS); Assess local 120 km BVR sustainment.","EL/M-2032 radar, Astra Mk1 missile, Uttam AESA",in
Embraer EMB-145 Netra,Embraer,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/DRDO_AEW%26C_Embraer_ERJ_145.JPG/1280px-DRDO_AEW%26C_Embraer_ERJ_145.JPG,Brazil,Airborne Early Warning & Control,Netra Mk1/Mk1A,3,Bathinda AFS,Yes,EL/M-2052 AESA Find/Fix (250-400 km horizon); Tracks threats with Mk1A IFF Mode 5; Targets off-board cueing/mid-course updates; Engage networked to fighters; Assess extending kill chains to 140 km.,"EL/M-2052 AESA, IFF Mode 5",in
Ilyushin Il-78,Ilyushin,https://upload.wikimedia.org/wikipedia/commons/e/ee/Ryazan_-_Dyagilevo._Russia_Air_Force_-_Ilyushin_Il-78.jpg,Russia,Aerial Refueling Tanker,Il-78MKI,6,Agra AFS,Yes,Probe refueling extends Find/Track endurance (2+ hours); Supports Engage on Rafale/Su-30; Targets long-range Indian Ocean patrols; Assess MKI Israeli avionics integration.,"Probe refueling system, Israeli avionics",in
Chengdu J-20,Chengdu Aircraft Corporation,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/J-20_at_Airshow_China_2016.jpg/1280px-J-20_at_Airshow_China_2016.jpg,China,Stealth Air Superiority Fighter,J-20A/S,320,"Cangzhou Air Base, Dazu Air Base, Foshan Air Base",Yes,"Twin-engine 5th-gen with Type 1475 KLJ-5 AESA radar (400 km detection vs. 3m²), internal bays for 6 PL-15/PL-21 BVR missiles, and low RCS for first-look/kill; two-seat S variant enhances networked ops with KJ-500 cueing to 280 km envelope; fleet hit 300+ with 200 produced in 2025 across 13+ brigades. F2T2EA: KLJ-5 AESA Find/Fix; Tracks secure link; Targets PL-15/21; Engage internal; Assess stealth penetration.","PL-15 long-range BVR missile, KLJ-5 AESA, Cloud-Sword CCA",chn
Shenyang J-35,Shenyang Aircraft Corporation,https://raw.githubusercontent.com/ayeeff/aircombat/main/data/TSX6WHET5NE7XCLZCFRKIAOCQI.jpg,China,Stealth Multirole Fighter,J-35A,60,"Huludao Naval Air Base, Zhuhai Air Base",Yes,"Carrier-capable 5th-gen (PLANAF focus) with WS-13/WS-19 engines, AESA radar, and 4-6 internal PL-15s for stealthy BVR; initial operational capability achieved mid-2025 on Fujian carrier; supports datalink fusion for 250+ km engagements, bridging J-20 and carrier strike groups. F2T2EA: KLJ-7A Find/Fix stealthy; Tracks datalink; Targets PL-15; Engage carrier ops; Assess naval BVR.","PL-15 long-range BVR missile, KLJ-7A AESA, J-20 Mighty Dragon stealth fighter",chn
Shenyang J-16,Shenyang Aircraft Corporation,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/J-16_at_CCAS2023_(20230724102737).jpg/1280px-J-16_at_CCAS2023_(20230724102737).jpg,China,Multirole Strike Fighter,J-16/D,450,"Suixi Air Base, Dingxinchang Air Base",Yes,"4.5-gen heavy fighter with JL-17 AESA radar (300 km range), 12 external PL-15/PL-21 pylons, and Khibiny-style EW; D variant (12 units) for jamming enemy radars to enable BVR salvos; core of PLAAF strike force, with 50+ added in 2025 for hybrid ops with drones. F2T2EA: JL-17 AESA Find/Fix; Tracks multiple; Targets via EW; Engage PL-15/21 external; Assess strike effectiveness.","PL-15 long-range BVR missile, JL-17 AESA radar, Khibiny-style EW",chn
Chengdu J-10C,Chengdu Aircraft Corporation,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/J-10CE_for_Pakistan_air_force_in_Zhuhai_airshow_2024.jpg/1280px-J-10CE_for_Pakistan_air_force_in_Zhuhai_airshow_2024.jpg,China,Multirole Fighter,J-10C,240,"Chengdu MR Training Base, Dingxin Air Base",Yes,"Single-engine 4.5-gen with KLJ-7A AESA (170 km), fly-by-wire, and 6-8 PL-15 missiles; excels in agile BVR with HOJ (high-off-boresight) capability and indigenous datalinks; 30+ delivered in 2025, forming 10+ squadrons for forward defense. F2T2EA: KLJ-7A AESA Find/Fix; Tracks HOJ; Targets PL-15; Engage agile; Assess datalinks.","KLJ-7A AESA, PL-15 long-range BVR missile, fly-by-wire system",chn
Shenyang J-11B,Shenyang Aircraft Corporation,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Chinese_Su-27.JPG/1280px-Chinese_Su-27.JPG,China,Air Superiority Fighter,J-11B/BS,495,"Baitabu Air Base, Cangzhou Air Base",Yes,"Upgraded Flanker with indigenous WS-10 engines, N001VE radar (150 km), and 8 PL-12/PL-15 loads; BS variant adds conformal tanks for extended loiter; reliable BVR backbone (445 PLAAF + 50 PLANAF), integrated with ground radars for cueing. F2T2EA: N001VE Find/Fix; Tracks WS-10 powered; Targets PL-12/15; Engage backbone; Assess cueing.","WS-10 engines, N001VE radar, PL-15 long-range BVR missile",chn
Sukhoi Su-30MKK,Shenyang Aircraft Corporation,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Sukhoi_Su-30MKK_inflight.jpg/1280px-Sukhoi_Su-30MKK_inflight.jpg,China,Multirole Fighter,Su-30MKK/MK2,100,"Cangzhou Air Base, Suixi Air Base",Yes,"Twin-seat long-range platform with N001VEP radar (200 km), thrust-vectoring, and 12 R-77/PL-12 missiles; MK2 naval variant (24 PLANAF) for carrier ops; sustains BVR via AEW links, with upgrades focusing on Chinese avionics compatibility. F2T2EA: N001VEP Find/Fix; Tracks thrust-vector; Targets R-77/PL-12; Engage AEW links; Assess upgrades.","N001VEP radar, PL-12 missile, KJ-500",chn
Shenyang J-15,Shenyang Aircraft Corporation,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/The_2nd_China_(Mianyang)_Science_%26_Technology_City_International_Hi-Tech_Expo_37.jpg/1280px-The_2nd_China_(Mianyang)_Science_%26_Technology_City_International_Hi-Tech_Expo_37.jpg,China,Carrier-Based Multirole Fighter,J-15/T/D,76,Huludao Naval Air Base,Yes,"Flanker-derived carrier jet with improved WS-10 engines, KLJ-5A radar, and 6-8 PL-12/PL-15 pylons; T variant (10) with catapult compatibility, D (6) for EW; 59 base + variants operational on Liaoning/Shandong, extending naval BVR to 200 km. F2T2EA: KLJ-5A Find/Fix; Tracks WS-10; Targets PL-12/15; Engage naval; Assess catapult.","KLJ-5A radar, WS-10 engines, PL-15 long-range BVR missile",chn
Shaanxi KJ-500,Shaanxi Aircraft Corporation,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/%E7%A9%BA%E8%AD%A6500%E6%A9%9F.jpg/1280px-%E7%A9%BA%E8%AD%A6500%E6%A9%9F.jpg,China,Airborne Early Warning & Control,KJ-500,70,Wuxi Air Base,Yes,"Y-9-based AEW with AESA radar (450 km horizon) for off-board targeting and mid-course PL-15 updates; 40 PLAAF + 20+ PLANAF; critical for networked BVR, with refueling probes added in 2025 for persistent coverage. F2T2EA: AESA Find/Fix horizon; Tracks off-board; Targets PL-15 updates; Engage directed; Assess networked.","AESA radar, Y-9 platform, refueling probes",chn
Wing Loong-10 HALE UCAV,Chengdu Aircraft Industry Group,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Wing_Loong_II_(CH-4B)_UAV.jpg/1280px-Wing_Loong_II_(CH-4B)_UAV.jpg,China,High-Altitude Long-Endurance UCAV,Wing Loong-10,5,"Suixi Air Base, Foshan Air Base",No,HALE for persistent Find; Tracks PL-15E external; Targets via KJ-3000; Engage BVR; Assess UCAV endurance; in PLA service as WZ-10. F2T2EA: HALE persistent Find; Tracks PL-15E external; Targets KJ-3000; Engage BVR; Assess endurance.,"PL-15 long-range BVR missile, KJ-3000 AEW, KLJ-5 AESA",chn
CH-7 stealth UCAV,China Aerospace Science and Technology Corporation,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/CH-7_UCAV_mockup_at_Airshow_China_2018.jpg/1280px-CH-7_UCAV_mockup_at_Airshow_China_2018.jpg,China,Stealth Unmanned Combat Aerial Vehicle,CH-7,0,Malan Air Base,No,"Stealth Find internal bay; Tracks to KJ-3000; Targets PL-15/21; Engage autonomous; Assess datalink; development complete, initial service entry 2025. F2T2EA: Stealth Find internal; Tracks KJ-3000; Targets PL-15/21; Engage autonomous; Assess datalink.","PL-15 long-range BVR missile, PL-21 long-range BVR missile, Cloud-Sword CCA",chn
Cloud-Sword CCA,Chengdu Aircraft Corporation,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/1280px-No_image_available.svg.png,China,Collaborative Combat Aircraft,Cloud-Sword,0,Yanliang Air Base,No,CCA Find for J-20; Tracks internal; Targets PL-15E; Engage wing-man; Assess swarm; under development for J-20 integration. F2T2EA: CCA Find J-20; Tracks internal; Targets PL-15E; Engage wing-man; Assess swarm.,"J-20 Mighty Dragon stealth fighter, PL-15 long-range BVR missile, KLJ-5 AESA",chn
FH-97A loyal-wingman,Aerospace Times Feihong Technology Corporation,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/FH-97A_in_zhuhai_airshow_2024_3x.jpg/1280px-FH-97A_in_zhuhai_airshow_2024_3x.jpg,China,Loyal Wingman UCAV,FH-97A,0,Yangfang Air Base,No,AESA nose Find for J-35; Tracks swarm; Targets 4x PL-15E; Engage AI controller; Assess wingman role; operational debut 2025. F2T2EA: AESA nose Find J-35; Tracks swarm; Targets 4x PL-15E; Engage AI; Assess wingman.,"J-35 carrier-based stealth fighter, PL-15 long-range BVR missile, AI swarm controller",chn
Hongdu GJ-11 Sharp Sword,Hongdu Aviation Industry Group,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/GJ-11_Sharpsword_UCAV.jpg/1280px-GJ-11_Sharpsword_UCAV.jpg,China,Stealth Unmanned Combat Aerial Vehicle,GJ-11,20,Malan Air Base,No,Stealth bomber-style UCAV with internal weapons bay for PL-15/PL-21; integrates with KJ-500/KJ-3000 for BVR targeting; low-observable airframe enables penetration missions; operational since 2024. F2T2EA: Stealth Find; Tracks KJ-3000; Targets PL-15/21; Engage autonomous; Assess deep strike.,"PL-15 long-range BVR missile, PL-21 long-range BVR missile, KJ-3000 AEW, Cloud-Sword CCA",chn
Boeing F-15 Eagle,Boeing,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/A_Royal_Saudi_Air_Force_F-15_flies_over_the_training_lanes.jpg/960px-A_Royal_Saudi_Air_Force_F-15_flies_over_the_training_lanes.jpg,United States,Multirole Strike Fighter,F-15SA/C/S,211,"King Khalid Air Base, Dhahran Air Base, Taif Air Base",Yes,AN/APG-82(V)1/63(V)3/70 radar Find/Fix (200-250 km); Tracks multiple via datalink; Targets high-volume/QRA with ECCM/AI; Engage 8-12+ AIM-120C-7/D; Assess lofted/SEAD with E-3A cueing for 120-140 km envelopes.,"AN/APG-82(V)1 AESA, AN/APG-63(V)3 AESA, AN/APG-70 radar, AIM-120C-7 AMRAAM, AIM-120D AMRAAM, conformal tanks, E-3A AWACS",sau
Eurofighter Typhoon,Eurofighter,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/RAF_Eurofighter_EF-2000_Typhoon_F2_Lofting-1.jpg/960px-RAF_Eurofighter_EF-2000_Typhoon_F2_Lofting-1.jpg,United Kingdom,Multirole Fighter,Typhoon T3,72,King Fahd Air Base (Taif),Yes,CAPTOR-E AESA Find/Fix (250 km); Tracks sustained via thrust-vectoring/datalink fusion; Targets Phase 2 Enhancements; Engage 6-8 Meteor missiles; Assess Link-16 integration for 130 km effective range.,"CAPTOR-E AESA radar, Meteor missile, Link-16",sau
Panavia Tornado IDS,Panavia,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/RAF_Tornado_GR4_MOD_45155233.jpg/1280px-RAF_Tornado_GR4_MOD_45155233.jpg,United Kingdom,Multirole Strike Fighter,Tornado IDS,81,"Dhahran Air Base, Hafar al-Batin Air Base",Yes,TERMA PESA radar Find/Fix (150 km); Tracks variable-sweep for suppression; Targets GR4 mid-life datalinks; Engage 4-6 Meteor/AIM-120C-5; Assess 110 km engagements with stealth coatings.,"TERMA PESA radar, Meteor missile, AIM-120C-5 AMRAAM, GR4 upgrades",sau
Boeing E-3 Sentry,Boeing,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Boeing_E-3_Sentry_%28United_States_Air_Force%29_150516-F-WQ860-361.jpg/1280px-Boeing_E-3_Sentry_%28United_States_Air_Force%29_150516-F-WQ860-361.jpg,United States,Airborne Early Warning & Control,E-3A/RE-3A,5,Prince Sultan Air Base,Yes,AN/APY-2 radar Find/Fix (400 km horizon); Tracks off-board threats; Targets mid-course AIM-120 updates/SIGINT jamming; Engage F-15/Typhoon salvos; Assess kill-chain for 140 km with IFF Mode 5.,"AN/APY-2 radar, SIGINT/ELINT systems",sau
Saab 2000 Erieye,Saab,https://upload.wikimedia.org/wikipedia/commons/b/b5/Saab_2000_Erieye.jpg,Sweden,Airborne Early Warning & Control,2000 AEW&C,2,Dhahran Air Base,Yes,Erieye AESA Find/Fix (350 km); Tracks networked cueing; Targets missile guidance/IFF Mode 5 upgrades; Engage persistent Gulf coverage; Assess supplementing E-3A for BVR envelopes.,"Erieye AESA radar, IFF Mode 5",sau
Airbus A330 MRTT,Airbus,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Airbus_A330_MRTT_F-UJCG_-_French_Air_Force_-_48196620172.jpg/1280px-Airbus_A330_MRTT_F-UJCG_-_French_Air_Force_-_48196620172.jpg,France,Aerial Refueling Tanker,KC-30A,6,Prince Sultan Air Base,Yes,Boom/probe refueling extends Find/Track (3+ hours); Supports Engage on fighters; Targets sustained ops; Assess interoperable datalinks with US/European allies for persistent patrols.,"Boom/probe refueling, datalinks",sau
General Dynamics F-16 Fighting Falcon,General Dynamics,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/F-16_Fighting_Falcon.jpg/960px-F-16_Fighting_Falcon.jpg,United States,Multirole Fighter,F-16C/D Block 30/40/50+,236,"Eskişehir Air Base, Balıkesir Air Base, Merzifon Air Base",Yes,AN/APG-68(V)5/8/9 radar Find/Fix (100-150 km); Tracks hybrid ops via CCIP/PO-III/Özgür-II datalink fusion; Targets SEAD-BVR with ECCM/AESA/EW suite; Engage 6-8 AIM-120C-5/7/HBV; Assess NATO QRA/forward basing with E-7T cueing for 100-110 km envelopes.,"AN/APG-68(V)9 radar, AIM-120C-7 AMRAAM, Özgür-II AESA/EW suite, E-7T Wedgetail",tuk
McDonnell Douglas F-4 Phantom II,McDonnell Douglas,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/QF-4_Holloman_AFB.jpg/1280px-QF-4_Holloman_AFB.jpg,United States,Fighter-Bomber,F-4E Terminator 2020,19,Eskişehir Air Base,Yes,AN/APG-76(V) radar Find/Fix (150 km); Tracks SEAD missions; Targets mid-course datalink; Engage 4-6 AGM-65/HBV; Assess Israeli mods for contested airspace strikes.,"AN/APG-76(V) radar, AGM-65 missile, HBV missile, datalink systems",tuk
Boeing E-7T Wedgetail,Boeing,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/13-004_Boeing_E-7T_Wedgetail_Turkish_Air_Force_Konya_AFB_9.5.23.jpg/1280px-13-004_Boeing_E-7T_Wedgetail_Turkish_Air_Force_Konya_AFB_9.5.23.jpg,United States,Airborne Early Warning & Control,E-7T,4,Konya Air Base,Yes,MESA AESA Find/Fix (400 km horizon); Tracks off-board threats; Targets AIM-120 updates/ARES-2A ESM ECCM; Engage F-16 salvos; Assess kill-chain enabler at 501st Squadron for 110 km.,"MESA AESA radar, ARES-2A ESM",tuk
Boeing KC-135 Stratotanker,Boeing,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/F-16_refuelling%2C_Exercise_Green_Flag_East_-_081201-F-3071N-235.jpg/1280px-F-16_refuelling%2C_Exercise_Green_Flag_East_-_081201-F-3071N-235.jpg,United States,Aerial Refueling Tanker,KC-135R CRAG,7,İncirlik Air Base,Yes,Boom refueling extends Find/Track (2+ hours); Supports Engage on F-16/F-4; Targets Black Sea/Med patrols; Assess Block 45.1 NATO integration at 101st Squadron.,"Boom refueling system, Block 45.1 upgrades",tuk
Airbus A400M Atlas,Airbus Defence and Space,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Airbus_A400M_Atlas.jpg/1280px-Airbus_A400M_Atlas.jpg,France,Strategic Airlifter / Refueling,A400M-180,10,Kayseri Erkilet Air Base,Yes,Underwing pods/probe refueling supports fighter surge Find/Track; Targets forward basing; Engage BVR networks; Assess TAI components for deployment at 11th Air Transport Squadron.,"Underwing refueling pods, probe refueling",tuk
CASA/IPTN CN-235,CASA,https://upload.wikimedia.org/wikipedia/commons/2/2c/CASA_CN-235M_Spain_-_Air_Force%2C_PMI_Palma_de_Mallorca%2C_Balearic_Islands%2C_Spain_PP1337281654.jpg,Spain,SIGINT / ELINT / MPA,CN-235M-100,2,Ankara Güvercinlik Army Aviation Base,Yes,ELINT suite Find/Fix (200 km sensors); Tracks enemy radars; Targets cueing/jamming; Engage IADS degradation; Assess TAI-built avionics mods (TCAS/IFF) at 41st Squadron for BVR support.,"ELINT suite, TCAS/IFF systems",tuk
Baykar Bayraktar Akıncı,Baykar,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Bayraktar_Ak%C4%B1nc%C4%B1_TurkishArmy_Teknofest2021_%281%29.jpg/1280px-Bayraktar_Ak%C4%B1nc%C4%B1_TurkishArmy_Teknofest2021_%281%29.jpg,Turkey,HALE UCAV,Akıncı,20,Batman Air Base,No,MURAD AESA Find/Fix (BVR detection); Tracks ground/maritime/air threats via ECM; Targets mid-course guidance; Engage SOM/Eren/Alpagut munitions; Assess unmanned strikes with E-7T integration for extended kill chains.,"MURAD AESA radar, SOM cruise missile, ECM systems, E-7T Wedgetail",tuk
Baykar Bayraktar Kızılelma,Baykar,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Baykar_Bayraktar_K%C4%B1z%C4%B1lelma_2.png/960px-Baykar_Bayraktar_K%C4%B1z%C4%B1lelma_2.png,Turkey,Unmanned Combat Aerial Vehicle,Kızılelma,2,Çorlu Air Base (developmental),No,MURAD 100-A AESA Find/Fix (low-observable detection); Tracks carrier-capable missions; Targets precision-guided bombs/TOLUN; Engage AI-powered strikes; Assess 5th-gen unmanned BVR entry with initial IOC 2025.,"MURAD 100-A AESA radar, TOLUN munitions, AI systems",tuk
F-35I Adir,Lockheed Martin Israel,https://upload.wikimedia.org/wikipedia/commons/a/ac/B52-and-Israel-Air-Force-Fighters-1.jpg,Israel,Multirole Stealth Fighter,F-35I,75,Nevatim Airbase,Yes,"Modified 5th-gen with indigenous Elbit C4I suite, AN/APG-81 AESA radar (200+ km detection), and internal 4-6 AIM-120D/Rampage bays for stealthy BVR; sensor fusion and MADL/Link-16 enable cooperative kills with G550 CAEW cueing to 200 km envelope; 75 operational across 4 squadrons (e.g., 140th at Hatzerim), with 25 more on order toward 100 total. F2T2EA: AN/APG-81 Find/Fix fusion; Tracks network; Targets AIM-120D; Engage 5th gen; Assess sensor fusion.","Elbit C4I suite, AN/APG-81 AESA radar, AIM-120D AMRAAM, G550 CAEW",isr
F-15 Eagle,Boeing Israel,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Boeing_F-15I_Ra%27am%2C_Israel_-_Air_Force_AN1061389.jpg/1280px-Boeing_F-15I_Ra%27am%2C_Israel_-_Air_Force_AN1061389.jpg,Israel,Air Superiority / Strike Fighter,"F-15I Ra'am, F-15A/B/C/D Baz",50,"Hatzerim Air Base, Tel Nof Air Base, Ramat David Air Base",Yes,"Upgraded with AN/APG-82(V)1 / AN/APG-70 radars (200-250 km), conformal tanks, and 8-10 AIM-120D loads for long-range BVR; Bedek / Baz Meshupaz refits (2025) add EW fusion; across 4 squadrons (e.g., 69th at Hatzerim, 133rd at Tel Nof), excels in lofted launches with 200 km effective via sat-links. F2T2EA: AN/APG-82 Find/Fix large volume; Tracks conformal; Targets AIM-120D; Engage lofted; Assess EW fusion.","AN/APG-82(V)1 AESA, AIM-120D AMRAAM, conformal tanks, EW suite",isr
F-16 Fighting Falcon,Lockheed Martin Israel,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/480th_Fighter_Squadron%2C_United_States_Air_Force_%28140216-F-XZ889-0012%29.jpg/1280px-480th_Fighter_Squadron%2C_United_States_Air_Force_%28140216-F-XZ889-0012%29.jpg,Israel,Multirole Fighter,"F-16I Sufa, F-16C/D Barak 2020",204,"Ramat David Air Base, Ramon Air Base",Yes,"Block 52+/40 with Elta EL/M-2032 AESA (200 km), fly-by-wire, and 6-8 AIM-120D loads for agile BVR; Spice 1000 / Barak 2020 mods (complete 2025) enhance ECCM/datalink; 204 across 6 squadrons (e.g., 101st at Ramon), core for networked 180 km engagements with Green Pine cueing. F2T2EA: EL/M-2032 Find/Fix; Tracks ECCM; Targets AIM-120D; Engage agile; Assess datalink.","Elta EL/M-2032 AESA, AIM-120D AMRAAM, Elbit EW suite, Spice 1000",isr
