Aircraft,Company,Photo,Origin,Type,Versions,In Service,Airport,BVR kill chain,Associated products,Manned
F-35I Adir,Lockheed Martin Israel,https://upload.wikimedia.org/wikipedia/commons/a/ac/B52-and-Israel-Air-Force-Fighters-1.jpg,Israel,Multirole Stealth Fighter,F-35I,75,Nevatim Airbase,"Modified 5th-gen with indigenous Elbit C4I suite, AN/APG-81 AESA radar (200+ km detection), and internal 4-6 AIM-120D/Rampage bays for stealthy BVR; sensor fusion and MADL/Link-16 enable cooperative kills with G550 CAEW cueing to 200 km envelope; 75 operational across 4 squadrons (e.g., 140th at Hatzerim), with 25 more on order toward 100 total. F2T2EA: AN/APG-81 Find/Fix fusion; Tracks network; Targets AIM-120D; Engage 5th gen; Assess sensor fusion.","Elbit C4I suite, AN/APG-81 AESA radar, AIM-120D AMRAAM, G550 CAEW",Yes
F-15 Eagle,Boeing Israel,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Boeing_F-15I_Ra%27am%2C_Israel_-_Air_Force_AN1061389.jpg/1280px-Boeing_F-15I_Ra%27am%2C_Israel_-_Air_Force_AN1061389.jpg,Israel,Air Superiority / Strike Fighter,"F-15I Ra'am, F-15A/B/C/D Baz",50,"Hatzerim Air Base, Tel Nof Air Base, Ramat David Air Base","Upgraded with AN/APG-82(V)1 / AN/APG-70 radars (200-250 km), conformal tanks, and 8-10 AIM-120D loads for long-range BVR; Bedek / Baz Meshupaz refits (2025) add EW fusion; across 4 squadrons (e.g., 69th at Hatzerim, 133rd at Tel Nof), excels in lofted launches with 200 km effective via sat-links. F2T2EA: AN/APG-82 Find/Fix large volume; Tracks conformal; Targets AIM-120D; Engage lofted; Assess EW fusion.","AN/APG-82(V)1 AESA, AIM-120D AMRAAM, conformal tanks, EW suite",Yes
F-16 Fighting Falcon,Lockheed Martin Israel,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/480th_Fighter_Squadron%2C_United_States_Air_Force_%28140216-F-XZ889-0012%29.jpg/1280px-480th_Fighter_Squadron%2C_United_States_Air_Force_%28140216-F-XZ889-0012%29.jpg,Israel,Multirole Fighter,"F-16I Sufa, F-16C/D Barak 2020",204,"Ramat David Air Base, Ramon Air Base","Block 52+/40 with Elta EL/M-2032 AESA (200 km), fly-by-wire, and 6-8 AIM-120D loads for agile BVR; Spice 1000 / Barak 2020 mods (complete 2025) enhance ECCM/datalink; 204 across 6 squadrons (e.g., 101st at Ramon), core for networked 180 km engagements with Green Pine cueing. F2T2EA: EL/M-2032 Find/Fix; Tracks ECCM; Targets AIM-120D; Engage agile; Assess datalink.","Elta EL/M-2032 AESA, AIM-120D AMRAAM, Elbit EW suite, Spice 1000",Yes
G550 CAEW Nachshon Eitam,Gulfstream Israel,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/APROC_2018-4.jpg/1280px-APROC_2018-4.jpg,Israel,Airborne Early Warning & Control,Nachshon Eitam,4,Nevatim Airbase,"CAEW with EL/I-2085 AESA radar (400 km horizon) for off-board targeting and mid-course AIM-120 updates; 103rd Squadron at Nevatim, critical kill-chain enabler (2 more ordered 2024) for F-35/F-15 salvos to 200 km. F2T2EA: EL/I-2085 Find/Fix horizon; Tracks off-board; Targets AIM-120 updates; Engage directed; Assess CAEW.","EL/I-2085 AESA radar, Link-16, F-35I Adir",Yes
Boeing 707 Re'em,Boeing Israel,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Nevatim-Air-Base-4.jpg/1280px-Nevatim-Air-Base-4.jpg,Israel,Aerial Refueling Tanker,707 Re'em,7,Nevatim Airbase,"Converted KC-707 with boom refueling for 2+ hour BVR extensions on F-15/F-16; 120th Squadron at Lod, enables sustained patrols (retiring by 2028 for KC-46); integrates with CAEW for persistent ops. F2T2EA: Refueling extends Track/Engage; Sustains patrols; Targets persistent; Assess boom.","Boom refueling system, G550 CAEW, F-16 Fighting Falcon",Yes
G550 Shavit Nachshon,Gulfstream Israel,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Gulfstream-sahvit.jpg/1280px-Gulfstream-sahvit.jpg,Israel,SIGINT / ELINT,Nachshon Shavit,3,Nevatim Airbase,"ELINT platform with EL/I-3001 suite (300 km sensors) for enemy radar cueing/jamming; supports BVR by degrading IADS; 122nd Squadron at Nevatim, enhances multi-domain fusion with F-35 datalinks. F2T2EA: EL/I-3001 Find threats; Tracks cueing/jamming; Targets IADS; Engage degraded; Assess fusion.","EL/I-3001 suite, datalinks, F-35I Adir",Yes
EL/M-2052 AESA Radar,Elta Systems,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/1280px-No_image_available.svg.png,Israel,Airborne AESA Fire Control Radar,EL/M-2052,0,N/A (export system),X-Band AESA radar for multi-target tracking and long-range detection; offered for export fighters like Tejas Mk1A (first batches 2025); integrates with Israeli avionics for BVR enhancement. F2T2EA: AESA Find/Fix on Gripen/Tejas; Tracks multiple; Targets cueing; Engage BVR missiles; Assess ESM.,"Tejas Mk1A, Astra Mk1, Barak-8 seeker tech",No
Elbit EW & AESA Sub-systems,Elbit Systems,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/1280px-No_image_available.svg.png,Israel,Electronic Warfare & AESA Sub-systems,EW & AESA,102,N/A (integrated systems),"Advanced self-protection suites for F-16I, including EW jammers and AESA components; $80M contract 2025 equips fleet for enhanced survivability in contested airspace. F2T2EA: Sub-systems Find/Fix F-16I/F-35I; Tracks cueing; Targets helmet BVR; Engage shots; Assess Israeli.","F-16I Sufa, F-35I Adir, Derby-ER",No
Neon Loyal Wingman,Israel Aerospace Industries,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/1280px-No_image_available.svg.png,Israel,Loyal Wingman UCAV,Neon,0,Palmachim Air Base (developmental),AESA-equipped loyal wingman for F-35I relay and BVR extension; concept demonstrator for future swarm ops. F2T2EA: AESA nose Find for F-35I; Tracks relay; Targets Derby-ER; Engage internal future; Assess BVR relay.,"F-35I Adir, Derby-ER, EL/M-2052 AESA radar",No
IAI Harop,Israel Aerospace Industries,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/IAI_Harop_PAS_2013_01.jpg/1280px-IAI_Harop_PAS_2013_01.jpg,Israel,Loitering Munition Drone,Harop,100+,Ramon Air Base,"Loitering attack drone with electro-optical seeker and autonomous strike capability; 1,000 km range; can identify and destroy radar emitters; used in SEAD/BVR kill chains for suppression of air defences. F2T2EA: EO seeker Find; Fix emitter; Track autonomously; Target radar; Engage dive; Assess via feed.","IAI Harpy, EL/M-2052, F-16I Sufa",No
I-Derby ER,Rafael Advanced Defense Systems,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Rafael_I-Derby_Missiles.jpg/1280px-Rafael_I-Derby_Missiles.jpg,Israel,Long Range BVR Air-to-Air Missile,I-Derby ER,500,N/A (missile system),"Active radar-guided BVR missile with 100+ km range, two-way data link for mid-course updates and full-sphere launch; integrated on Israeli F-16I and F-15I for extended envelope with AESA cueing; combat-proven in IAF operations. F2T2EA: AESA Find/Fix; Tracks data link; Targets active radar; Engage 100km; Assess terminal guidance.","F-16I Sufa, F-15I Ra'am, EL/M-2032 AESA, Python-5",No
Python-5,Rafael Advanced Defense Systems,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Israeli_Air_Force_F-15D_Baz_957_1.jpg/1280px-Israeli_Air_Force_F-15D_Baz_957_1.jpg,Israel,Advanced Imaging IR Air-to-Air Missile,Python-5,1000,N/A (missile system),"5th-gen IR-guided missile with imaging seeker, high off-boresight, and lock-on-after-launch for BVR engagements up to 20+ km; enables helmet-cued shots in networked kill chains. F2T2EA: Helmet/Seeker Find; Tracks imaging IR; Targets LOAL; Engage off-boresight; Assess full sphere.","F-16I Sufa, F-35I Adir, I-Derby ER, Elbit helmet cueing",No
Sky Sting,Rafael Advanced Defense Systems,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/1280px-No_image_available.svg.png,Israel,6th Gen Long Range Air-to-Air Missile,Sky Sting,0,N/A (developmental missile),"Cutting-edge 250 km range BVR missile with three-pulse rocket motor, hypersonic terminal phase, and advanced RF seeker with ECCM; in late development 2025, offered for integration on 5th/6th gen fighters. F2T2EA: Future AESA Find extreme; Tracks resilient; Targets RF ECCM; Engage 250km; Assess hypersonic.","F-35I Adir, Tejas Mk1A, AN/APG-81 AESA, I-Derby ER",No
