Aircraft,Photo,Origin,Type,Versions,In Service,Notes
Lockheed Martin F-35A Lightning II,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/First_F-35_headed_for_USAF_service.jpg/1280px-First_F-35_headed_for_USAF_service.jpg,United States,Multirole Stealth Fighter,F-35A,42,"CTOL 5th-gen with AN/APG-81 AESA radar (200+ km detection), sensor fusion, and internal 4 AIM-120D/AAM-4B bays for stealthy BVR; EOTS-2 targeting and MADL/Link-16 enable cooperative kills with E-767 cueing to 160 km envelope; 42 operational across 3 squadrons (Komatsu, Misawa, etc.), with 105 more on order toward 147 total."
Mitsubishi F-15J Eagle,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/FA-18E_of_VFA-27_in_flight_with_JASDF_F-15_Eagles_in_February_2015.JPG/1280px-FA-18E_of_VFA-27_in_flight_with_JASDF_F-15_Eagles_in_February_2015.JPG,United States / Japan,Air Superiority Fighter,F-15J MSIP,155,"Upgraded 4.5-gen with AN/APG-82(V)1 AESA (250 km range), thrust-vectoring, and 8-12 AIM-120D pylons for high-volume BVR; J-MSIP mods add conformal tanks and datalink for sustained ops; core interceptor fleet, integrated with FPS-5 radars for 160 km effective range."
Mitsubishi F-15DJ Eagle,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Japan_air_self_defense_force_Mitsubishi_F-15DJ_Tactical_Fighter_Training_Group_92-8070_RJAH.jpg/1200px-Japan_air_self_defense_force_Mitsubishi_F-15DJ_Tactical_Fighter_Training_Group_92-8070_RJAH.jpg?20160904132525,United States / Japan,Conversion Trainer / Multirole Fighter,F-15DJ,44,"Dual-seat variant with same AN/APG-82 AESA and 6-8 AIM-120D loads as F-15J; supports advanced tactics training and operational BVR missions; licensed by Mitsubishi, with ongoing upgrades for AAM-4B compatibility and Link-16 fusion."
Mitsubishi F-2,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/USN-JASDF_ship_and_aircraft_formations_during_ANNUALEX_2008_081119-N-7047S-140.jpg/1280px-USN-JASDF_ship_and_aircraft_formations_during_ANNUALEX_2008_081119-N-7047S-140.jpg,Japan / United States,Multirole Fighter,F-2A,61,"Enlarged F-16 derivative with J/APG-1 AESA (150 km), fly-by-wire, and 6 AIM-120C-7/AAM-4B missiles; excels in maritime strike/BVR with conformal loads; indigenous production by Mitsubishi, forming 4 squadrons for forward defense."
Mitsubishi F-2,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/USN-JASDF_ship_and_aircraft_formations_during_ANNUALEX_2008_081119-N-7047S-140.jpg/1280px-USN-JASDF_ship_and_aircraft_formations_during_ANNUALEX_2008_081119-N-7047S-140.jpg,Japan / United States,Conversion Trainer / Multirole Fighter,F-2B,27,Tandem-seat version with identical J/APG-1 radar and 4-6 BVR missile capacity; enables two-ship tactics and EW training; supports networked cueing via E-2D for 130 km engagements in East China Sea ops.
Boeing E-767,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/A_Japanese_Air_Self_Defense_Force_E-767_takes_off_for_a_training_mission_030530-F-XU966-004.jpg/1280px-A_Japanese_Air_Self_Defense_Force_E-767_takes_off_for_a_training_mission_030530-F-XU966-004.jpg,United States,Airborne Early Warning & Control,E-767,4,"AWACS with MESA AESA radar (400 km horizon) for off-board targeting and mid-course AIM-120 updates; critical kill-chain enabler for F-35/F-15 salvos; all 4 operational at Hamamatsu AB, upgraded in 2024 for IFF Mode 5."
Northrop Grumman E-2 Hawkeye,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Grumman_E-2C_Hawkeyes_of_VAW-115_fly_past_Mount_Fuji_on_15_February_2007_%28070215-N-2604L-024%29.jpg/1280px-Grumman_E-2C_Hawkeyes_of_VAW-115_fly_past_Mount_Fuji_on_15_February_2007_%28070215-N-2604L-024%29.jpg,United States,Airborne Early Warning & Control,E-2D,13,"Carrier-incompatible but land-based AEW with APS-145 radar (400 km) and CEC for cooperative BVR; 4 E-2C upgraded to D standard by 2025, plus 9 new-builds IOC; No. 31st Sqdn provides persistent coverage for Typhoon Strait."
Boeing KC-46A Pegasus,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/2024_Milwaukee_Air_and_Water_Show_185_%28United_States_Air_Force_Boeing_KC-46_Pegasus%29.jpg/1280px-2024_Milwaukee_Air_and_Water_Show_185_%28United_States_Air_Force_Boeing_KC-46_Pegasus%29.jpg,United States,Aerial Refueling / Multi-role Transport,KC-46A,4,"MRTT with boom/receptacle refueling for 2+ hour BVR extensions on F-15J/F-35A; remote vision system enhances ops; 4 delivered by Nov 2025 (2 more on order), replacing KC-767 for Pacific sustainment."


