Aircraft,Company,Photo,Origin,Type,Versions,In Service,BVR kill chain,Associated products
F-35A Lightning II,Lockheed Martin,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/First_F-35_headed_for_USAF_service.jpg/1280px-First_F-35_headed_for_USAF_service.jpg,United States,Multirole Stealth Fighter,F-35A,40,"CTOL 5th-gen with AN/APG-81 AESA radar (200+ km detection), sensor fusion, and internal 4-6 AIM-120D missiles for stealthy BVR; DAS/EOTS and MADL/Link-16 enable cooperative kills with E-737 cueing to 160 km envelope; 40 operational across 3 squadrons (e.g., 17th at Cheongju), with 20 more on order toward 60 total by 2028. F2T2EA: AN/APG-81 fusion Find; Tracks network; Targets AIM-120D; Engage 5th gen; Assess sensor fusion.","AN/APG-81 AESA radar, AIM-120D AMRAAM, E-737 Peace Eye"
Boeing F-15K Slam Eagle,Boeing,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/F-15K_ROKAF_takes_off_from_Kunsan_AB_2009.jpg/1280px-F-15K_ROKAF_takes_off_from_Kunsan_AB_2009.jpg,United States,Multirole Strike Fighter,F-15K,59,"4.5-gen heavy fighter with AN/APG-63(V)3 AESA (250 km range), thrust-vectoring, and 8-12 AIM-120D pylons for high-volume BVR; KF-2000 upgrades (2025 IOC) add conformal tanks and datalink; No. 11th Fighter Wing at Daegu, core for peninsula defense with 160 km effective range via ground radars. F2T2EA: AN/APG-63(V)3 Find/Fix; Tracks thrust-vector; Targets AIM-120D; Engage high-volume; Assess datalink.","AN/APG-63(V)3 AESA, AIM-120D AMRAAM, conformal tanks"
Lockheed Martin F-16 Fighting Falcon,Lockheed Martin,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/F-16_June_2008.jpg/1280px-F-16_June_2008.jpg,United States,Multirole Fighter,KF-16C/D,167,"Block 52 variant with AN/APG-68(V)9 radar (150 km), fly-by-wire, and 6-8 AIM-120D loads for agile BVR; Block 70 upgrades on 40 units (2025) enhance ECCM; two-seat trainers with identical capabilities for tactics; 118 fighters +49 trainers across 5+ wings (e.g., 20th at Seosan), sustains QRA with Link-16 for networked 140 km engagements. F2T2EA: AN/APG-68(V)9 Find/Fix; Tracks ECCM; Targets AIM-120D; Engage agile; Assess Link-16.","AN/APG-68(V)9 radar, AIM-120D AMRAAM, Block 70 upgrades"
KAI T-50 / FA-50 Golden Eagle,KAI,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/FA-50_Fighting_Eagle_First_delivery_1.jpg/1280px-FA-50_Fighting_Eagle_First_delivery_1.jpg,South Korea,Advanced Supersonic Trainer / Light Multirole Fighter,"T-50A, FA-50",132,"Supersonic advanced trainer/light fighter with fly-by-wire, EL/M-2032 radar option (150 km), and light armament (4-6 AIM-9/AGM-65/AIM-120C-7 pylons) for lead-in fighter training, secondary CAS/BVR-lite roles, and cost-effective BVR filler; full IOC since 2005, supports conversion to F-35A/KF-16 with datalink integration; 72 trainers +60 fighters across 4 wings (e.g., 16th at Yecheon, 20th at Seosan), enables cost-effective surge training for networked 120 km envelopes via E-737 cueing. F2T2EA: EL/M-2032 Find/Fix; Tracks datalink; Targets AIM-120C-7; Engage light BVR; Assess surge.","EL/M-2032 radar, AIM-120C-7, fly-by-wire"
Boeing E-737 Peace Eye,Boeing,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/%EA%B3%B5%EC%A4%91%EC%A1%B0%EA%B8%B0%EA%B2%BD%EB%B3%B4%ED%86%B5%EC%A0%9C%EA%B8%B0_%287445565660%29.jpg/960px-%EA%B3%B5%EC%A4%91%EC%A1%B0%EA%B8%B0%EA%B2%BD%EB%B3%B4%ED%86%B5%EC%A0%9C%EA%B8%B0_%287445565660%29.jpg,United States,Airborne Early Warning & Control,E-737,4,"MESA AESA radar (400 km horizon) for off-board targeting and mid-course AIM-120D updates; vital kill-chain enabler via KFDL/Link-16; 7th Airlift Wing at Gimpo, full IOC 2025 for persistent peninsula coverage. F2T2EA: MESA AESA Find/Fix horizon; Tracks off-board; Targets AIM-120D updates; Engage directed; Assess KFDL.","MESA AESA radar, Link-16, AIM-120D AMRAAM"
Airbus A330 MRTT,Airbus,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/KC-30A_RAAF_YBBN_20111106.jpg/1280px-KC-30A_RAAF_YBBN_20111106.jpg,South Korea,Aerial Refueling / Transport,KC-330,4,"MRTT with boom/probe refueling for 2+ hour BVR extensions on F-35A/F-15K; 17th Tactical Airlift Wing at Cheongju, enables sustained ops in Korean theater with USFK integration. F2T2EA: Refueling extends Track/Engage; Sustains theater; Targets 2+ hour; Assess boom/probe.","Boom/probe refueling, F-35A Lightning II, F-15K Slam Eagle"
KF-21 Boramae,KAI,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/A_South_Korean_Air_Force_KF-21%2C_developed_by_Korea_Aerospace_Industries%2C_performs_an_aerial_demonstration_at_the_Aerospace_and_Defense_Exhibition_in_Seoul%2C_South_Korea%2C_October_21%2C_2023.jpg/1280px-thumbnail.jpg,South Korea,Multirole Fighter,KF-21 Block I/II,0,"4.5-gen fighter with local AESA radar, internal/external BVR missiles (AIM-120C/Meteor), and datalink for networked ops; Block I/II upgrades enhance seekers and internal carriage; IOC Block I 2026, with 20 prototypes tested by 2025; wing-man to F-35A. F2T2EA: Local AESA Find; Tracks pylons/Meteor; Targets AIM-120C; Engage Block I/II; Assess upgrade path.","KF-21 Boramae AESA radar, AIM-120C-7, Meteor-K"
Low-Observable UCAV (LO-UCAV) CCA,KAI,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/1280px-No_image_available.svg.png,South Korea,Collaborative Combat Aircraft,LO-UCAV,0,Low-observable CCA for KF-21 wing-man roles with internal Meteor/AIM-120 bay; development phase with first flight 2025. F2T2EA: LO Find internal; Tracks to KF-21; Targets Meteor/AIM-120; Engage wing-man; Assess CCA.,"KF-21 Boramae, Meteor long-range BVR missile, K-SAAM"
K-SAAM,LIG Nex1,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/1280px-No_image_available.svg.png,South Korea,Air-to-Air Missile Seeker,K-SAAM,0,Indigenous seeker for air-launched SAM/BVR missiles; active radar homing for KF-21 integration. F2T2EA: Seeker for Engage post-Track; Active radar homing; Targets air threats; Assess local tech.,"KF-21 Boramae AESA radar, Meteor long-range BVR missile, LIG Nex1 datalink"
KF-21 Boramae AESA Radar,LIG Nex1,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/1280px-No_image_available.svg.png,South Korea,Airborne AESA Fire Control Radar,KF-21 AESA,0,Licence-built AESA for KF-21 with multi-target tracking; backend by LIG Nex1 for BVR enhancement. F2T2EA: Licence AESA Find/Fix; Tracks K-SAAM; Targets integration; Engage seekers; Assess backend.,"K-SAAM, AIM-120C-7, Meteor-K"
