Aircraft,Company,Photo,Origin,Type,Versions,In Service,Manned,BVR kill chain,Associated products,Airport
Sukhoi Su-57,Sukhoi,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Sukhoi_Design_Bureau%2C_054%2C_Sukhoi_T-50_%28Su-57_prototype%29_%2849581303977%29.jpg/960px-Sukhoi_Design_Bureau%2C_054%2C_Sukhoi_T-50_%28Su-57_prototype%29_%2849581303977%29.jpg,Russia,Multirole Stealth Fighter,Su-57,24,Yes,"Russia's 5th-gen platform with N036 Byelka AESA radar (400 km detection), internal bays for 6 R-77M/R-37M BVR missiles, and low RCS for first-shot advantage; integrates with A-50U via secure datalinks for 350+ km networked envelopes; 2024 deliveries boosted to 3 squadrons by late 2025. F2T2EA: Su-57 Find/Fix; Tracks R-77M; Targets seeker S-111; Engage BVR; Assess Byelka.","N036 Byelka AESA, R-77M hypersonic BVR missile, S-111 BVR seeker",Dzyomgi Air Base
Sukhoi Su-35S,Sukhoi,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Russian_Air_Force_Sukhoi_Su-35_Belyakov.jpg/1280px-Russian_Air_Force_Sukhoi_Su-35_Belyakov.jpg,Russia,Air Superiority Fighter,Su-35S,91,Yes,"4.5-gen supermaneuverable jet with Irbis-E PESA radar (400 km range), thrust-vectoring, and 12 external BVR missiles (up to 8 R-37M); excels in lofted launches and ECCM for high Pk at NEZ; core of VKS fighter fleet, with 16 added in 2024. F2T2EA: Irbis-E Find/Fix; Tracks thrust-vector; Targets R-37M; Engage lofted; Assess ECCM.","Irbis-E PESA radar, R-37M hypersonic BVR missile, L402 Himalayas EW suite","Besovets Air Base, Centralnaya Uglovaya Air Base"
Sukhoi Su-30SM,Sukhoi,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Sukhoi_Su-30MK_of_the_Russian_Air_Force.jpg/500px-Sukhoi_Su-30MK_of_the_Russian_Air_Force.jpg,Russia,Multirole Fighter,Su-30SM/SM2,70,Yes,"Twin-seat long-range platform with Bars-R AESA radar (200+ km), 12-missile BVR loadout, and thrust-vectoring for sustained engagements; SM2 upgrades add hypersonic R-37M; vital for two-ship tactics and A-50 cueing, with 4 more delivered in 2024. F2T2EA: Bars-R Find/Fix; Tracks 12-missile; Targets R-37M; Engage two-ship; Assess upgrades.","Bars-R AESA radar, R-37M hypersonic BVR missile, A-50U","Kursk Vostochny Airport, Kubinka Air Base"
Mikoyan MiG-31,Mikoyan,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Mikoyan-Gurevich_MiG-31BM%2C_Russia_-_Air_Force_AN2221622.jpg/1280px-Mikoyan-Gurevich_MiG-31BM%2C_Russia_-_Air_Force_AN2221622.jpg,Russia,Interceptor,MiG-31BM/BSM,114,Yes,"Mach 2.8 high-altitude interceptor with Zhuk-MS upgrade (300 km detection), specialized for 4-6 R-37M launches against AWACS/tankers; extends BVR envelope to 400 km via OTH integration; backbone of air defense, with ongoing BM modernizations. F2T2EA: Zhuk-MS Find/Fix high-alt; Tracks R-37M; Targets AWACS; Engage 400 km; Assess OTH.","Zhuk-MS radar, R-37M hypersonic BVR missile, OTH integration","Savasleyka Air Base, Borisovsky Khotilovo Air Base"
Sukhoi Su-34,Sukhoi,https://upload.wikimedia.org/wikipedia/commons/0/0f/Russian_military_aircraft_at_Latakia%2C_Syria_%288%29.jpg,Russia,Strike Fighter,Su-34M,129,Yes,"Armored multirole with Kopyo-34 AESA (200 km), 8-12 BVR missiles, and Khibiny EW suite for self-protection; supports SEAD/BVR in contested airspace; fleet grew by 24 in 2024, emphasizing hybrid manned-unmanned ops with Lancet drones. F2T2EA: Kopyo-34 Find/Fix; Tracks Khibiny; Targets 8-12 BVR; Engage SEAD; Assess hybrid.","Kopyo-34 AESA, Khibiny EW suite, R-77M hypersonic BVR missile",Morozovsk Air Base
Mikoyan MiG-29,Mikoyan,https://upload.wikimedia.org/wikipedia/commons/2/27/Russian_Knights_%28mil.ru%29_01.jpg,Russia,Multirole Fighter,MiG-29SMT/UBT,47,Yes,"Upgraded 4th-gen with Zhuk-ME AESA radar (160 km), conformal fuel tanks for extended loiter, and 6 R-77M pylons; cost-effective BVR filler for forward basing; ~15 active post-2022 losses, with upgrades focusing on datalink compatibility. F2T2EA: Zhuk-ME Find/Fix; Tracks conformal; Targets R-77M; Engage forward; Assess datalink.","Zhuk-ME AESA radar, R-77M hypersonic BVR missile, conformal fuel tanks",Kursk Vostochny Air Base
Sukhoi Su-27,Sukhoi,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Russian_Air_Force_Victory_Day_Parade_2008.ogv/320px--Russian_Air_Force_Victory_Day_Parade_2008.ogv.jpg,Russia,Air Superiority Fighter,Su-27SM3,19,Yes,"Modernized Flanker baseline with Bars radar (200 km) and 10 BVR missiles; bridges to Su-35 in reserves; limited but reliable for surge ops, integrated with L-band ground radars for cueing. F2T2EA: Bars Find/Fix; Tracks 10 BVR; Targets surge; Engage reserves; Assess L-band.","Bars radar, R-77M hypersonic BVR missile, L-band ground radars",Krymsk Air Base
Beriev A-50,Beriev,https://upload.wikimedia.org/wikipedia/commons/7/74/Russia_stamp_2020_%E2%84%96_2714.jpg,Russia,Airborne Early Warning & Control,A-50U,12,Yes,Upgraded AEW with Vega-M radar (400 km horizon) for off-board targeting and mid-course missile updates; critical kill-chain enabler despite losses (6 operational post-upgrades); 2025 focus on Il-76A-90 replacements. F2T2EA: Vega-M Find/Fix horizon; Tracks off-board; Targets missile updates; Engage enabler; Assess upgrades.,"Vega-M radar, secure datalinks, Sukhoi Su-57",Ivanovo Severny Air Base
N036 Byelka AESA,Tikhomirov NIIP,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/PAK_FA_AESA_maks2009.jpg/1280px-PAK_FA_AESA_maks2009.jpg,Russia,Airborne AESA Fire Control Radar,N036 Byelka,0,No,Side-looking AESA radar for Su-57 with 400 km detection and multi-target engagement; full integration enhances stealth BVR. F2T2EA: Su-57 Find/Fix; Tracks R-77M; Targets seeker S-111; Engage BVR; Assess Byelka.,"R-77M hypersonic BVR missile, S-111 BVR seeker, Su-35S fire-control",N/A
S-111 BVR Seeker,Agat,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/1280px-No_image_available.svg.png,Russia,BVR Missile Seeker,S-111,0,No,Active radar homing seeker for R-77M integration on Su-57; terminal guidance for high-Pk kills. F2T2EA: Seeker for Engage R-77M; Active homing; Targets terminal; Assess integrated.,"R-77M hypersonic BVR missile, N036 Byelka AESA, KRET seekers",N/A
