Aircraft,Photo,Origin,Type,Versions,In Service,Notes
Boeing F-15SA Eagle II,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Weapons_Instructor_Course.jpg/1280px-Weapons_Instructor_Course.jpg,United States,Multirole Strike Fighter,F-15SA,84,"Advanced 4.5-gen with AN/APG-82(V)1 AESA (250 km range), fly-by-wire, and 12+ AIM-120D pylons for high-volume BVR; 2025 upgrades add conformal tanks and AI targeting; core of RSAF (e.g., 13th Sqdn at Khamis Mushait), enables 140 km networked envelopes via E-3A cueing."
Eurofighter Typhoon,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/RAF_Eurofighter_EF-2000_Typhoon_F2_Lofting-1.jpg/960px-RAF_Eurofighter_EF-2000_Typhoon_F2_Lofting-1.jpg,Multi-national (UK/IT/DE/ES),Multirole Fighter,Typhoon T3,72,"Tranche 3 with CAPTOR-E AESA (250 km), thrust-vectoring, and 6-8 Meteor missiles for sustained BVR; Phase 2 Enhancements (2025 IOC) boost datalink fusion; 72 operational across 4 squadrons (e.g., 1st at Dhahran), integrated with Link-16 for 130 km effective range."
Boeing F-15C Eagle,https://upload.wikimedia.org/wikipedia/commons/4/42/123rd_Fighter_Squadron_landing_%2851115228009%29.jpg,United States,Air Superiority Fighter,F-15C,70,"Upgraded interceptor with AN/APG-63(V)3 AESA (220 km), 8 AIM-120C-7 loads, and mid-life updates for ECCM; sustains QRA volume; part of 211 total F-15 family (e.g., 2nd Sqdn at Tabuk), supports lofted launches with Saab 2000 cueing to 120 km."
Boeing F-15S Strike Eagle,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/F-15C_%D0%BD%D0%B0%D0%B4_%D0%A2%D0%B8%D1%85%D0%B8%D0%BC_%D0%BE%D0%BA%D0%B5%D0%B0%D0%BD%D0%BE%D0%BC.jpg/960px-F-15C_%D0%BD%D0%B0%D0%B4_%D0%A2%D0%B8%D1%85%D0%B8%D0%BC_%D0%BE%D0%BA%D0%B5%D0%B0%D0%BD%D0%BE%D0%BC.jpg,United States,Multirole Strike Fighter,F-15S,57,"Modernized F-15E derivative with AN/APG-70 radar (200 km) and 10 AIM-120D pylons for BVR strikes; 2025 SR conversions add stealth coatings; complements Typhoon in mixed ops (e.g., 55th Sqdn at Taif), enhancing SEAD-enabled salvos."
Panavia Tornado IDS,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Refueling%2C_ILA_2024%2C_Schoenefeld_%28ILA45423%29.jpg/1280px-Refueling%2C_ILA_2024%2C_Schoenefeld_%28ILA45423%29.jpg,Multi-national (UK/IT/DE),Multirole Strike Fighter,Tornado IDS,81,"Variable-sweep wing with TERMA PESA radar (150 km) and 4-6 Meteor/AIM-120C-5 upgrades for BVR; GR4 std. mid-life extension to 2030; 81 active (e.g., 7th Sqdn at Riyadh), provides suppression support via datalinks for 110 km engagements."
Boeing E-3 Sentry,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Boeing_E-3_Sentry_%28United_States_Air_Force%29_150516-F-WQ860-361.jpg/1280px-Boeing_E-3_Sentry_%28United_States_Air_Force%29_150516-F-WQ860-361.jpg,United States,Airborne Early Warning & Control,E-3A/RE-3A,5,"AWACS with AN/APY-2 radar (400 km horizon) for off-board targeting and mid-course AIM-120 updates; 1 RE-3A for SIGINT/ELINT jamming; 16th Sqdn at Riyadh, critical kill-chain enabler (1 more on order) for F-15/Typhoon salvos to 140 km."
Saab 2000 Erieye,https://upload.wikimedia.org/wikipedia/commons/b/b5/Saab_2000_Erieye.jpg,Sweden,Airborne Early Warning & Control,2000 AEW&C,2,"Erieye AESA radar (350 km) for networked cueing and missile guidance; 2025 upgrades add IFF Mode 5; supplements E-3A for persistent coverage (e.g., 18th Sqdn), extending BVR envelopes in Gulf theater."
Airbus A330 MRTT,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/KC-30A_RAAF_YBBN_20111106.jpg/1280px-KC-30A_RAAF_YBBN_20111106.jpg,Multi-national (Airbus),Aerial Refueling Tanker,KC-30A,6,"MRTT with boom/probe refueling for 3+ hour BVR extensions on fighters; 4 more delivered in 2025 toward 10 total; 21st Sqdn at Riyadh, enables sustained ops with US/European allies via interoperable datalinks."


