Aircraft,Photo,Origin,Company,Type,Versions,In Service,Manned,BVR kill chain,Associated products,Airport
Lockheed Martin F-35B Lightning II,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/F-35B_after_vertical_landing.jpg/1280px-F-35B_after_vertical_landing.jpg,United States,Lockheed Martin,V/STOL Stealth Multirole Fighter,F-35B,39,Yes,"Joint RAF/FAA platform with AN/APG-81 AESA radar (200+ km detection), sensor fusion, and internal 4-6 Meteor/AIM-120D bays for stealthy BVR; MADL datalink enables cooperative kills via E-7 cueing to 200 km envelope; 48 total delivered by end-2025, with 39 operational across 617/207 Sqn (RAF) and 809 NAS (FAA). F2T2EA: AN/APG-81 fusion Find; Tracks network; Targets AIM-120D/Meteor; Engage 5th gen; Assess sensor fusion.","AN/APG-81 AESA radar, Meteor long-range BVR missile, AIM-120D AMRAAM, E-7 Wedgetail",RAF Marham
Eurofighter Typhoon,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/RAF_Eurofighter_Typhoon.jpg/1200px-RAF_Eurofighter_Typhoon.jpg,United Kingdom,BAE Systems,Multirole Fighter,FGR4,102,Yes,"Tranche 2/3 backbone with CAPTOR-E AESA (250 km range), thrust-vectoring, and 6-8 Meteor missiles for high-Pk BVR; integrates with Link-16 for NATO ops; Tranche 1 retirement ongoing (26 active, Falklands-based to 2027), total fleet ~120 pre-retirements but 102 combat-coded post-2025 adjustments. F2T2EA: AESA for advanced Find/Fix; Enables Track at range; Supports Target cueing; Engage Meteor; Assess via EW suite.","Meteor long-range BVR missile, EJ200 engine, Typhoon Captor-E AESA radar","RAF Coningsby, RAF Lossiemouth"
Boeing E-7 Wedgetail,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/A30-001_in_flight_over_the_United_States_in_April_2025.jpg/1280px-A30-001_in_flight_over_the_United_States_in_April_2025.jpg,United States,Boeing,Airborne Early Warning & Control,AEW.1,3,Yes,"E-3 replacement with MESA AESA radar (400 km horizon) for off-board targeting and mid-course Meteor updates; full operational capability achieved 2025 with No. 8 Sqn; reduced from 5 to 3, but 2025 defence review eyes additions for persistent BVR coverage. F2T2EA: MESA AESA Find/Fix horizon; Tracks off-board; Targets Meteor updates; Engage directed; Assess coverage.","MESA AESA radar, Link-16, Meteor long-range BVR missile",RAF Lossiemouth
Boeing RC-135W Rivet Joint,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/RC-135_Rivet_Joint_2008.jpg/1280px-RC-135_Rivet_Joint_2008.jpg,United States,Boeing,SIGINT / Electronic Warfare,Airseeker,3,Yes,"ELINT platform with River Joint suite for enemy radar/missile cueing, suppressing threats to enable Typhoon/F-35 salvos; No. 51 Sqn ops integrate via Link-16; all 3 delivered and upgraded by 2025 for GPS-denied environments. F2T2EA: River Joint suite Find threats; Tracks cueing/suppression; Targets IADS; Engage enabled; Assess GPS-denied.","River Joint suite, Link-16, F-35B Lightning II",RAF Waddington
Bombardier Global Express,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Bombardier_BD-700-1A10_Global_Express_XRS%2C_Private_JP7244730.jpg/1280px-Bombardier_BD-700-1A10_Global_Express_XRS%2C_Private_JP7244730.jpg,Canada,Bombardier,ISTAR / Battlefield Surveillance,Shadow R1,8,Yes,"Upgraded Global 6000 with Litening pods and SAR/GMTI radar for persistent targeting (200 km range); supports BVR via datalink fusion; fleet expanded to 9 but 8 operational by 2025, OSD 2030 pending Protector transition. F2T2EA: SAR/GMTI Find/Fix persistent; Tracks datalink; Targets fusion; Engage BVR support; Assess Litening.","Litening pods, SAR/GMTI radar, datalink",RAF Waddington
Raytheon Sentinel,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Raf-sentinel-ZJ692-071023-27-16.jpg/1280px-Raf-sentinel-ZJ692-071023-27-16.jpg,United States,Raytheon,ISTAR / Airborne Ground Surveillance,R2,3,Yes,Retained Global Express-based with ASaC radar (300 km) for cueing despite E-7 arrival; No. 5 Sqn provides gap-filler for networked BVR; upgrades extended service to 2025+ amid delays in replacements. F2T2EA: ASaC radar Find/Fix; Tracks cueing; Targets gap-filler; Engage networked; Assess upgrades.,"ASaC radar, E-7 Wedgetail",RAF Waddington
Airbus A330 Voyager,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Airbus_A330-243_MRTT_from_AirTanker%2C_the_new_multi-role_tanker_transport_aircraft_for_the_Royal_Air_Force_to_be_known_as_Voyager%2C_at_the_Royal_International_Air_Tattoo%2C_RAF_Fairford_MOD_45152973.jpg/1280px-Airbus_A330-243_MRTT_from_AirTanker%2C_the_new_multi-role_tanker_transport_aircraft_for_the_Royal_Air_Force_to_be_known_as_Voyager%2C_at_the_Royal_International_Air_Tattoo%2C_RAF_Fairford_MOD_45152973.jpg,France,Airbus,Tanker / Multi-role Transport,KC2,14,Yes,"MRTT with boom/probe refueling for 2+ hour BVR extensions on F-35/Typhoon; No. 10/101 Sqn ops; full fleet operational, enabling carrier strike group sustainment with Queen Elizabeth-class. F2T2EA: Boom/probe extends Track/Engage; Sustains carrier; Targets 2+ hour; Assess fleet.","Boom/probe refueling, F-35B Lightning II, Eurofighter Typhoon",RAF Brize Norton
General Atomics MQ-9 Reaper,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/MQ-9_Reaper_in_flight_%282007%29.jpg/1280px-MQ-9_Reaper_in_flight_%282007%29.jpg,United States,General Atomics,Unmanned ISR / Strike,MQ-9A,10,No,Persistent UAS with Lynx SAR (50 km) and Hellfire/GBU-12 for attritable BVR support; No. 13/39 Sqn transitioning to Protector RG1 (10 delivered by Nov 2025); integrates datalinks for cueing manned assets in contested airspace. F2T2EA: Lynx SAR Find/Fix persistent; Tracks datalinks; Targets attritable; Engage support; Assess contested.,"Lynx SAR, Hellfire missile, datalinks",RAF Waddington
Eurofighter Typhoon Captor-E AESA radar,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/1280px-No_image_available.svg.png,United Kingdom,Leonardo,Airborne AESA Fire Control Radar,Captor-E,0,No,AESA upgrade for Typhoon with 250 km detection and multi-target tracking; full rollout 2025 for enhanced BVR. F2T2EA: AESA for advanced Find/Fix; Enables Track at range; Supports Target cueing; Engage Meteor; Assess via EW suite.,"Meteor long-range BVR missile, EJ200 engine, Typhoon Captor-E AESA radar",N/A
LANCA loyal-wingman demonstrator,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/1280px-No_image_available.svg.png,United Kingdom,BAE Systems,Loyal Wingman Demonstrator,LANCA,0,No,Demonstrator for Typhoon sensor extension and EW roles; first flight 2025 under Tempest program. F2T2EA: Demonstrator for Find via integrated sensors; Tracks with EW; Targets Meteor/SPEAR; Engage internal bay; Assess future ops.,"Meteor long-range BVR missile, Eurofighter Typhoon Captor-E AESA radar, EJ200 engine",N/A
